conformation_lmdb_key,source_lmdb_key,pdb_id,sequence_length,sequence_sha256,n_conformations,source_disorder_source,source_is_idp,source_disorder_fraction,evidence_tier,exact_disprot_sequence_match,disprot_ids,disprot_accessions,disorder_residues,disorder_fraction,longest_disorder_region,disorder_region_count
00000044,00000044,P04080,98,a7ddfebcea7702ee56f5476e8f16a870bcad633b7d3a5a50b72392b44fbe2dd3,5,folded,,0.0,experimentally_curated_partially_disordered,True,DP01054,Q76LA1,67,0.6836734693877551,67,1
00000045,00000045,Q0VGL1,99,3373c1d6e615d74620837aa726af01280bf867d36c4e0afa389d1a24c09fbd17,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000046,00000046,Q86SG5,101,ffcf26f5345ec62f46dfc89c9aac08be91f9fef78574333ab254bd4bc82f8612,5,folded,False,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000047,00000047,Q9NPA8,101,b16533e447d0590cc84c3c2b659bf11696078d31c895f66a4273bc9abf90fd8a,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000048,00000048,Q9NZ42,101,7f4b0dd1e87e9574c87f7669672479abb435287e51d74d7a69234775cd56f0bd,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000049,00000049,P26447,101,60a42d819bede4863f8cd16fea9042f328cb5e0c50664e4dbedd5cac07071933,5,folded,,0.0,experimentally_curated_short_disorder,True,DP03228,P26447,11,0.10891089108910891,11,1
00000050,00000050,P61604,102,e4d2079e5cc6420a39ad4e244ed166dbeacd962fc998b1fa27f7d91ae0b3cfe1,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000051,00000051,P55000,103,1ed5dbcca3376bd86afb410c3972d08e9f6b734ba653a2d098b2a190e0558410,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000052,00000052,P62805,103,cef4bb8fb7b8677076cb40c5dcd728f3d037cfeef3f6b90276cc4509ac6da407,5,folded,,0.0,experimentally_curated_contains_idr,True,DP01390;DP02034,P62799;P62805,25,0.24271844660194175,25,3
00000053,00000053,Q9UK45,103,b76282643564af5d1cdd0135a3586cf9e0b6e59c8de44e857761fcb87a756a62,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000054,00000054,Q5U5X0,104,ea904279891c551f0b4d828627856c17215d0421e9ce9e1238c4f0511ecec3ac,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000055,00000055,A1B602,104,8c64a58bef95495cd99eac57a1ab80f282a801c82ef9a27ffcae3e40c7acfca9,5,af2_plddt_fallback,True,1.0,experimentally_curated_partially_disordered,True,DP03419,A1B602,44,0.4230769230769231,25,3
00000056,00000056,B8YB65,104,4fa7a492546131804aba0839a4ec8010fdf4ddf1c4decbe4c9b4a84c9fcfd345,5,ebi_mobidb_lite,True,0.6057692170143127,experimentally_curated_partially_disordered,True,DP01001,B8YB65,54,0.5192307692307693,32,4
00000057,00000057,P10599,105,b4e779decb4a567276d8385aefc4b0b7d43c5f6973b9f554511e6ca472f4fbc0,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000058,00000058,P99999,105,5e0b0254ee34f62546efdffc29fcf59e44b184deee0bce126d0a7541dccd6c13,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000059,00000059,A0A0H2ZJC1,105,20c0a44390e0545ff73d3ab6802495e94a6b508d35119721bd7031b89acbede6,5,ebi_mobidb_lite,True,1.0,experimentally_curated_fully_disordered,True,DP04159,A0A0H2ZJC1,84,0.8,55,2
00000060,00000060,3UPA,107,7baed0593aaa2de4747297014bacacb7bea1c33b095ed121b8a8f75c19fab1bd,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000061,00000061,P56278,107,8de39d423da1397ef4b34e5cbc6609b90aa855c73826225d03fe15be4350e927,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000062,00000062,af2_val_0_14839,107,de9f93373c7a22b99699ccaa54e0525a0a5f2bfcc7f774f55377740fa14b3a3a,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000063,00000063,P68106,108,39b0d8c15a36d623fb08a72aedcf35ebdd082059773c7cca3cd9d2f46e43b33d,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000064,00000064,A0A1B0GTR3,108,6a507778f3f2567bbc6fc65e8abc7991c49e7b3c6d67132ad6b8e55991a074d6,5,ebi_mobidb_lite,True,1.0,experimentally_curated_fully_disordered,True,DP03704,A0A1B0GTR3,108,1.0,108,1
00000065,00000065,Q9NZ45,108,17bb2cec3a3bbb5375f76542963759fa9fbd060398051d9fd66206f0c0310d92,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000066,00000066,Q9HD89,108,d9a426ca5ac18acdd4e6e0f30e1ad4b929d78152799802e3b6fd32108045c6c1,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000067,00000067,G1K3N3,108,f91b9066bbba6e147d543d00c0cf9172a23fdd0a29b2ab977a6d6d603cc11849,5,af2_plddt_fallback,True,1.0,experimentally_curated_partially_disordered,True,DP00933,G1K3N3,44,0.4074074074074074,44,1
00000068,00000068,P52657,109,84f3ebed87710d57e35e7b1d87716512d23433bd84b5aabc5cc8da3ea38278cb,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000069,00000069,P20472,110,03610edfd0355a605cdbfeccf14e703e684eb9979cfc55e43e3eb36879200d23,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000070,00000070,Q15369,112,b16f52f0d04b72927ee4e0cbe247b9d446ac4466ec87c4bf055470e04b94b895,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000071,00000071,P63172,113,ce0a50096aa716d4034c94af56f81a8ed7421834ee338f1049a54bbec0c7099e,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000072,00000072,P56279,114,b7b12c7fbe09f2a134061db602aae5508acb62faaea25598da2d3af722799f1d,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000073,00000073,2HP4,114,26e2deea3733314fa1a84e15fddad3b51b5b7169f06a583cc125c9a47dc80002,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000074,00000074,P06702,114,c35efd5e1938b6db97cf4e54dd62ced8f3f181a6c791b3e8b251868a5aed5ce1,5,folded,,0.0,experimentally_curated_contains_idr,True,DP04125,P06702,28,0.24561403508771928,28,1
00000075,00000075,P03897,115,c119e5094cc9e80a0e04708fab344c7a2bb8ff7c6226481b908b2b199f4fdc72,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000076,00000076,P14174,115,6fcd7510546f6916475197b4cc685730be47749ee22261b24813a38c97516602,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000077,00000077,P62888,115,73ede4df4cd38c138866b48586e80dff0ea55da721015eefaf1d3a70b532a18e,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000078,00000078,P0C5Z0,115,51d6e593ccfe28329d3ac1a79cf8114e7e8c4d8ccd3f15c2e8af000eee911006,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000079,00000079,Q16718,116,7937bf62bc38c8ace293122cc2c8404657f0f17a8878cf309b621b94e755557c,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000080,00000080,P01825,116,fb0a5eae0a79dc046aae485b988104195e9df589f6f92c75e119c0fccd1b9a69,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000081,00000081,P01215,116,3b00b149fb9cf76d98fbab9327d727d266a58f1ac0fa000d29ca8cc0d91516f7,5,folded,False,0.0,experimentally_curated_partially_disordered,True,DP02922,P01215,35,0.3017241379310345,25,2
00000082,00000082,P01764,117,d7a7e969afe9c93d024d1da45187b65e1f4e0ba7cc54dc3a9cf0949807aa66b0,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000083,00000083,P23083,117,146e58f1815b14e9e6187041b19b3bf90b7c91366c13b0fbeda7812f9b9c96a1,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000084,00000084,O95166,117,299c474e44fa002b96aa71ec2e589f191e872f3d0e186fad7376fe89714d0b08,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000085,00000085,P01597,117,be6f043484cb522466e48e6b3e32df07e1c1da0e39b1067eb05420ba2c77fa23,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000086,00000086,P62316,118,7c85b904a2049dec5c358d8639ee15af3ec5754f5eb0707659b7b4daf57fce83,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000087,00000087,Q13541,118,e3117ed0ded827072d1fc70299f6dabc5e50c31afcbd0057a5cee9f6dc2816b1,5,ebi_mobidb_lite,True,0.8389830589294434,experimentally_curated_fully_disordered,True,DP00028,Q13541,118,1.0,118,5
00000088,00000088,Q15370,118,ec09e9b6c6a9f5db6f68d95098849dc5cb9335fa67c0a831522cb37163386ce8,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000089,00000089,P62314,119,c2a46b9076e49c3419da266058c4927756ece109bdecf8a0e1eb5632cf8e633b,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000090,00000090,P61769,119,c319ce623de7d59e9e73c6daf7ec603d5e5ed48358f54b97d1eccdc3c9bf693b,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000091,00000091,O95298,119,2f66674b83e55ee302a988e84baef40eff41b78011000fd17b582fb0582a77e7,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000092,00000092,P04437,119,91e26e7db06c7ea10b2a088fe72041ea27fcfadab6930761f1335a5724343da2,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000093,00000093,3ZHD,119,8cfdc2b218b819f09ed4e1d25ff6bcadecc0519c7c720f04b6e692166d14ba10,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000094,00000094,D8SB57,119,d28c6bdad97328e27612e84e309cb8d9243c9f76273b7b654bf9bb4b2bfb83bd,5,af2_plddt_fallback,True,1.0,experimentally_curated_short_disorder,True,DP03920,D8SB57,14,0.11764705882352941,14,1
00000095,00000095,P01615,120,cec9eb101aaf5c8fa53369da5c72ed99a53361dfb0a26f583e57bd58efd63d5d,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000096,00000096,Q9H492,121,33a0233648d89771340ba76bb2227ce4ceb24c1737beda97eb1589104681ec7e,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000097,00000097,P0DJI8,122,7f125296357f8831b267e3f3cccb6b59194a6c1b79f418c9c8391bf508a965ce,5,folded,,0.0,experimentally_curated_short_disorder,True,DP03081,P0DJI8,12,0.09836065573770492,12,1
00000098,00000098,P0DJI9,122,35b89c49a6af119ca2cba9204c71dd33a2da641310a201a07feaf6212947ba68,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000099,00000099,P47224,123,c6489a94256158fab1974ecd03c45b107ea9fa2d72a4ca7f5e5f8acd82e7e7fd,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000100,00000100,Q9UHA4,124,f0114914a7a9847e6770cd2ca00d4838a421eef2467a47d10807d53078a8322f,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000101,00000101,O14907,124,79ad8ed4c19152e312b28dacb32627cd36d8c69db2e1b61b3f57f0ff74c11b27,5,folded,,0.0,experimentally_curated_short_disorder,True,DP04287,O14907,22,0.1774193548387097,12,2
00000102,00000102,Q9Y2Q5,125,40ea9704cb9bac757cca8d6e884eb4e8916b20e15301fe07e42150c80a62e269,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000103,00000103,P82932,125,b49112bcc6072ade39f12328824ae2abd590dc7cd6a4b893e532e0bc629aa0e6,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000104,00000104,Q9GZQ8,125,106a8b3fd850c7c58d45cc6db56755ed1b061bad0e2c37bbd6ce686387ecd79b,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000105,00000105,Q99879,126,01ab6ffeb9a69a50cd0992f112e2dd9302a59f284441c57a86271bdd00547e1b,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000106,00000106,P62318,126,a9fe5b486c4ac81f7f0aeb38f96655c054001fe0dc947aff0e59cbfb9d65d4c5,5,folded,,0.0,experimentally_curated_partially_disordered,True,DP01704,P62318,45,0.35714285714285715,45,1
00000107,00000107,Q5QNW6,126,215ef131241ebe8952760a51fee7e0cd960c9d8ddb0d077d37e69693c9d49404,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000108,00000108,P33778,126,42b128a5e37d2eccfbf6575602c6e20263e963c4b59e434052213bba1900d0c8,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000109,00000109,Q8N257,126,b34326c3dbcaf3ad57100eeefe3c1c966518cddec23ebc94a16b1db1f3b67f63,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000110,00000110,Q99880,126,6bf1f9938bf14d572bee837aab21330cddad7cdceaebc0be270a057d12081fbe,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000111,00000111,G0SCY6,126,8fc0814bf7fcc5771baf297700596092b8ce84c2f4a0fd10617d3850af7bc461,5,ebi_mobidb_lite,True,0.4444444477558136,experimentally_curated_partially_disordered,True,DP01398,G0SCY6,39,0.30952380952380953,25,2
00000112,00000112,P57053,126,968a806839d4b4a25c507ececf476af28d77cf3a0757a14fa8eacc68eeae4f4d,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000113,00000113,P58876,126,f76df5433f06962603d6d45ebca8ba2375fcca1c1473c5de7c1b31fb5667a1d7,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000114,00000114,P62807,126,379176b09a0137ab6e8878ddc58c2ade3b4029374ae16b8f7a34d9d38630b48f,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000115,00000115,P06899,126,0ce53cfdc2845990b5594e56fd6a905036ca5787ab38047a5e56777666c5eff3,5,folded,,0.0,experimentally_curated_partially_disordered,True,DP01158,P06899,38,0.30158730158730157,38,1
00000116,00000116,Q9BRT2,126,f0010c30a821452e13187c945d70458e3179470d60b3853b15c905cd9d991d98,5,folded,False,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000117,00000117,O60814,126,05293671125e0988cd7b08ef6585eea00a5490dfc82d07f4d9e455b664add557,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000118,00000118,P23527,126,f699f9facc071fd87fef7e2d195249c4b47436d7e68a62c8e1a70aa5daf9f92a,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000119,00000119,Q99877,126,a407bbcb7983f141cc126758bb4f0867fa0f0b29cf594af8a071d6e5165ca0c3,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000120,00000120,Q9Y5J5,127,9bcf0b1f05e86fa0c092821d6f55afef2b8673bc722d162a221de023cfb21207,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000121,00000121,P61970,127,decb771d32e70a2f214aff7e89fd2c5cc24e1adb3bb4cc15f5b03981abeb9c28,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000122,00000122,P0C7P0,127,71d8db29e0887e4bf6e10cba5d29bca6bcb9e3f8de9187a31dd57ea17bd1a901,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000123,00000123,P56556,128,355075af4340ac1f3765f83ec2a115ecbf0dd2146d44640a5cb1740db9f43456,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000124,00000124,O95988,128,5c5a45d1b2dbaed67f095cbf14ba088a08c8a2d531c8765e80c89f830357a352,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000125,00000125,Q16777,129,271da80f28003e9a36c0a72bfd37d7ca400261852d8ac4b8b3951ad7bd5a2d19,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000126,00000126,Q9BUE6,129,f47e3663beeeeb6ef76f40fe7e73cf94fc987d7f49a27da4b9d37e666e6dab24,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000127,00000127,Q03403,129,f4f3c42839778db121150b11416eff79946b9d0424bcca06b4723ef39a518de5,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000128,00000128,P35542,130,fb44ab6ef6347a5b63ce63cb7eabe3bd2ef448c0e211384d2995890b6f962667,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000129,00000129,P0C0S8,130,ecb6e6398d4b5254c1a5fdec756b4a48e66e1e94a7e40d0eec67c4fcbbf0b19b,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000130,00000130,Q86YW7,130,1b05b9964872659ea325cc9598a4fc02c2d0a620ed33aefa0e23dc0f1d71f1c8,5,folded,False,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000131,00000131,P02689,132,7607fdd0400b6b28176e28540f0d270b7e6ce0977358c3672919fa9906560412,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000132,00000132,P15090,132,0245deffad73dcd5cf0c8f7c09aef20860fbe11c1fb839049bce6dd95819195c,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000133,00000133,P62847,133,052e47ca9b6bf71afee9b7d343dc6a30ec86fb03ec890b3c8d4d3a136f96f0c9,5,folded,False,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000134,00000134,O95925,133,9dbf14f698855fe501b7cbaa2154f3219f30ce34ace535fe09709812f9bc453b,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000135,00000135,1SEN,134,5567b5f15c52e41228c8326d25e8c17d92120d23699fc06687e1b6c72debd3cd,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000136,00000136,Q01469,135,c2605143e7573a8e4485a8559fa67e5a99f862682b894e9c3a1302296f6f5efe,5,folded,False,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000137,00000137,1GQV,135,7e29d58baf7d33676c70f8971457e724e07e0270df4c9e083de874f408e19694,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000138,00000138,2HNX,136,f0d638adffe21e7517fc928b6b1b0bd62c0c14755f88bd85d4db2d88dbe94765,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
